20220520	12:13:54	0f91375c-f652-4ceb-921a-1e81967c76bf	GET	undefined	/views/subdir/index
20220520	12:13:54	8baa1784-5dc5-4cff-8dd3-ed6ec22c6c77	GET	undefined	/views/subdir/css/style.css
20220520	12:16:13	6b2de2ed-2a9f-454f-9097-2a3011321fdb	GET	undefined	/
20220520	12:16:13	83eeae57-4991-4d00-99ce-306db1ad6c4b	GET	undefined	/css/style.css
20220520	12:16:39	944f3c37-54f7-4f26-b8f3-b7777df57702	GET	undefined	/views/subdir/index
20220520	12:16:39	47e3e3db-69ea-4c9f-9147-4c31626c501f	GET	undefined	/views/subdir/css/style.css
20220520	12:19:48	47e2cebf-8886-4ceb-b37c-afe24834bdb1	GET	undefined	/subdir
20220520	12:32:26	385cdfbe-7ae8-4faf-af2b-7bfb45accdbf	GET	undefined	/subdir/test
20220520	12:33:03	e848c5b8-aae6-4bc3-b0ca-0d2547ad45cb	GET	undefined	/subdir/non
20220520	12:33:03	cbd4f31f-68e0-4bf4-99a0-9dcdc1486517	GET	undefined	/subdir/css/style.css
20220520	12:35:01	ce657c73-99ff-4a93-922a-68f6a8609594	GET	undefined	/subdir/non
20220520	12:35:02	27ef90b8-84ca-4d71-bf0f-5402affd86cf	GET	undefined	/subdir/css/style.css
20220520	12:42:45	fe058155-f499-4db5-87ac-525a2db7a0d8	GET	undefined	/
20220520	12:42:45	61f7cd09-287f-4868-b8f4-f70a780ee9ed	GET	undefined	/css/style.css
20220520	12:42:53	4f9042fe-cc1d-48fb-b7ec-eb0086b1e46a	GET	undefined	/new-page
20220520	12:42:53	da92a44d-2704-4c2d-9d73-b5b8acd6826d	GET	undefined	/css/style.css
20220520	12:42:53	6d15196a-c2c7-4c90-830d-e485c44ccc87	GET	undefined	/img/img1.jpg
20220520	12:43:03	d2efb65c-b639-4851-bff6-932d0856927f	GET	undefined	/new-page.html
20220520	12:43:03	1938f03a-f667-4f4b-8ab8-12b2adf66721	GET	undefined	/css/style.css
20220520	12:43:03	6567cf3a-e0c1-4280-bb1b-f6879dcced0f	GET	undefined	/img/img1.jpg
20220520	12:43:11	db336320-e731-4e8e-b66d-91bc448ad226	GET	undefined	/dave
20220520	12:43:11	c4a0653a-4b48-4a20-99e4-8407de8519ec	GET	undefined	/css/style.css
20220520	12:43:16	83d67712-1c4a-44dd-ac50-235fd5904893	GET	undefined	/
20220520	12:43:16	eaaea5b0-e084-4f76-937e-e483a0acbdfe	GET	undefined	/css/style.css
20220520	13:12:59	f204f7d1-5aab-4b39-aae1-be7930eb13cd	GET	undefined	/
20220520	13:14:05	1993793f-294d-40b2-ba13-d1bd96e9fb81	GET	undefined	/employees
20220520	13:16:11	c9b124c1-c1c8-4b9a-b878-97b71ef76aa6	POST	undefined	/employees
20220520	13:16:21	482b7082-515c-4175-9ce5-8c915fb3ecc5	GET	undefined	/employees
20220520	13:16:34	960b0b2b-e44c-4fd7-b48a-296d8f396740	POST	undefined	/employees
20220520	13:18:15	8d5bf9be-1d03-4d69-8aa2-9909fe50dbf9	PUT	undefined	/employees
20220520	13:19:06	57675bdd-873c-4604-a44b-29e4c9e349ca	DELETE	undefined	/employees
20220520	13:19:56	f1849c4e-7233-4b21-a159-7af600e102dd	GET	undefined	/employees/1
20220520	13:20:37	a830ab5c-4dd2-4e3e-95e6-05dd778c2d61	GET	undefined	/employees/2
20220520	13:21:36	0a23ddfd-a997-4f3f-9cd6-d87bb5a39379	GET	undefined	/employees/1
20220520	13:22:14	eb68b0b7-6f0e-4b97-826d-a9aa6051728c	GET	undefined	/employees/1
20220520	13:23:51	41cdc653-325a-4c71-8a0a-65cb645a8ce6	GET	undefined	/employees/1
20220520	13:26:00	b869d8c2-2512-4f50-85e6-0d022e5281b4	PUT	undefined	/employees
20220520	13:26:59	1b1ae687-1bd6-41cf-83d0-08e35a6f0a0f	DELETE	undefined	/employees
20220520	13:28:16	083dbf3b-5c09-4bbd-9a23-c244799608ad	GET	undefined	/employees/1
20220520	13:31:42	94424f0e-5c4b-4bae-982f-a3c154136d00	GET	undefined	/
20220520	13:31:50	634653bc-7b33-483a-a79d-4919e23a3953	GET	undefined	/employees
20220520	13:31:56	dfa1ecae-8324-496e-a036-619ae1f35293	GET	undefined	/employees/1
20220520	21:28:55	e0483546-fabf-412d-a2c7-b1ba896717fe	GET	undefined	/
20220520	21:29:11	59117e23-e8a9-40df-830b-284163c679c2	GET	undefined	/employee
20220520	21:29:38	a5de9254-434f-4369-bd14-4810da054678	GET	undefined	/employee
20220520	21:29:47	f20bddba-0d5e-4967-aad8-6ea53a5d6b9c	GET	undefined	/employees
20220520	21:31:50	a8c4e49e-18a3-4ab3-89c4-dc354f8f2b89	POST	undefined	/employees
20220520	21:32:52	ab592b53-968a-4f49-973f-2f26ad1aebee	PUT	undefined	/employees
20220520	21:33:19	7d110fb8-8cad-4036-9471-f40205d14b5d	DELETE	undefined	/employees
20220520	21:33:28	68e7ec96-415f-4450-9026-e7f901d2733f	DELETE	undefined	/employees/1
20220520	21:33:45	09caea09-5c5d-40d5-9b2a-f4156feefb37	GET	undefined	/employees/1
20220521	20:13:54	a9289e4d-c05f-45f2-82a7-9ec92c7b75ed	POST	undefined	/register
20220521	20:17:56	3101c4eb-34fd-4182-81d5-d73f799d7eda	POST	undefined	/register
20220521	20:20:31	721a8273-83bf-4e17-994a-5cbbf40fe9cc	GET	undefined	/css/style.css
20220521	20:29:44	c9648f0a-63bc-40ed-b907-e27d30cc56d8	POST	undefined	/
20220521	20:29:57	173bd552-2a1c-47a2-bc5d-dc93e6b35ccd	POST	undefined	/register
20220521	20:30:15	d71698f6-f4fe-4f85-8cff-3ccbb01d4e13	POST	undefined	/register
20220521	20:30:48	c1f5d722-94b8-4c7a-906a-e44115e4780c	POST	undefined	/register
20220521	20:31:42	710cd084-f00c-45d2-a4b1-b82e88a764e9	POST	undefined	/register
20220521	20:31:53	7e7a7390-ac81-476f-9750-f152b0c2dc96	POST	undefined	/register
20220521	20:34:50	d146bdbc-644d-4d54-88d5-f6ba12934727	POST	undefined	/register
20220521	21:00:01	c76d4fb3-bb92-417e-bb4b-ef436262dd87	POST	undefined	/auth
20220521	21:01:16	360c62c9-f3d7-4256-a22a-0f665523ba8c	POST	undefined	/auth
20220521	21:01:47	36cdb104-907a-48e8-993b-cdd02fbfd3cd	POST	undefined	/auth
20220521	21:02:44	bea02948-c3ec-464e-9c32-5556d7bd9c81	POST	undefined	/auth
20220521	21:04:09	a98206e0-8f04-4270-95dc-d65e597e5b6d	POST	undefined	/register
20220523	08:58:09	c0e16110-4cfc-496c-b616-a0adbbee9157	POST	undefined	/auth
20220523	08:59:52	838a9e43-00ce-4e37-88be-16c0372df919	GET	undefined	/employees
20220523	09:01:07	2dd27b61-5243-42d5-a3bb-5f6a88de092f	POST	undefined	/auth
20220523	09:01:40	c81d3815-69af-40d5-81ff-6fdbbd65566f	GET	undefined	/employees
20220523	09:02:42	cb33eabc-3cc3-4255-91c7-f7b043a65c6c	GET	undefined	/employees
